Тираж,structure_HMC,structure_LMH,even_count,odd_count,prev_HMC,prev2_HMC,prev_LMH,prev2_LMH,draw_parity,draw_day,weekday_raw,sleepy_hit_count,glue_cluster_match,structure_recurrence_10,zone_bias,quota_3plus_last5,quota_4plus_last5,quota_5plus_last5,psw_pattern_score
1000,2-2-2,3-1-2,2,4,,,,,even,Saturday,Saturday,,,,,,,,
1001,1-3-2,3-2-1,4,2,2-2-2,,3-1-2,,odd,Wednesday,Wednesday,,,,,,,,
1002,4-2-0,2-2-2,4,2,1-3-2,2-2-2,3-2-1,3-1-2,even,Saturday,Saturday,,,,,,,,
1003,2-1-3,1-4-1,4,2,4-2-0,1-3-2,2-2-2,3-2-1,odd,Wednesday,Wednesday,,,,,,,,
1004,2-2-2,2-2-2,3,3,2-1-3,4-2-0,1-4-1,2-2-2,even,Saturday,Saturday,,,,,,,,
1005,4-2-0,1-3-2,2,4,2-2-2,2-1-3,2-2-2,1-4-1,odd,Wednesday,Wednesday,,,,,,,,
1006,1-3-2,2-2-2,3,3,4-2-0,2-2-2,1-3-2,2-2-2,even,Saturday,Saturday,,,,,,,,
1007,3-0-3,3-1-2,3,3,1-3-2,4-2-0,2-2-2,1-3-2,odd,Wednesday,Wednesday,,,,,,,,
1008,1-3-2,1-3-2,1,5,3-0-3,1-3-2,3-1-2,2-2-2,even,Saturday,Saturday,,,,,,,,
1009,2-3-1,3-1-2,3,3,1-3-2,3-0-3,1-3-2,3-1-2,odd,Wednesday,Wednesday,,,,,,,,
1010,2-2-2,1-2-3,4,2,2-3-1,1-3-2,3-1-2,1-3-2,even,Saturday,Saturday,,,,,,,,
1011,2-3-1,1-4-1,3,3,2-2-2,2-3-1,1-2-3,3-1-2,odd,Wednesday,Wednesday,,,,,,,,
1012,3-2-1,0-4-2,1,5,2-3-1,2-2-2,1-4-1,1-2-3,even,Saturday,Saturday,,,,,,,,
1013,2-1-3,3-2-1,3,3,3-2-1,2-3-1,0-4-2,1-4-1,odd,Wednesday,Wednesday,,,,,,,,
1014,5-0-1,1-2-3,4,2,2-1-3,3-2-1,3-2-1,0-4-2,even,Saturday,Saturday,,,,,,,,
1015,2-4-0,1-3-2,2,4,5-0-1,2-1-3,1-2-3,3-2-1,odd,Wednesday,Wednesday,,,,,,,,
1016,2-2-2,3-2-1,0,6,2-4-0,5-0-1,1-3-2,1-2-3,even,Saturday,Saturday,,,,,,,,
1017,1-4-1,1-3-2,4,2,2-2-2,2-4-0,3-2-1,1-3-2,odd,Wednesday,Wednesday,,,,,,,,
1018,1-3-2,3-1-2,4,2,1-4-1,2-2-2,1-3-2,3-2-1,even,Saturday,Saturday,,,,,,,,
1019,2-2-2,4-1-1,1,5,1-3-2,1-4-1,3-1-2,1-3-2,odd,Wednesday,Wednesday,,,,,,,,
1020,2-4-0,2-1-3,3,3,2-2-2,1-3-2,4-1-1,3-1-2,even,Saturday,Saturday,,,,,,,,
1021,4-1-1,2-2-2,2,4,2-4-0,2-2-2,2-1-3,4-1-1,odd,Wednesday,Wednesday,,,,,,,,
1022,1-2-3,2-1-3,3,3,4-1-1,2-4-0,2-2-2,2-1-3,even,Saturday,Saturday,,,,,,,,
1023,4-0-2,4-0-2,2,4,1-2-3,4-1-1,2-1-3,2-2-2,odd,Wednesday,Wednesday,,,,,,,,
1024,4-1-1,3-1-2,4,2,4-0-2,1-2-3,4-0-2,2-1-3,even,Saturday,Saturday,,,,,,,,
1025,2-3-1,1-3-2,2,4,4-1-1,4-0-2,3-1-2,4-0-2,odd,Wednesday,Wednesday,,,,,,,,
1026,2-3-1,2-3-1,2,4,2-3-1,4-1-1,1-3-2,3-1-2,even,Saturday,Saturday,,,,,,,,
1027,2-2-2,2-2-2,3,3,2-3-1,2-3-1,2-3-1,1-3-2,odd,Wednesday,Wednesday,,,,,,,,
1028,0-5-1,2-2-2,2,4,2-2-2,2-3-1,2-2-2,2-3-1,even,Saturday,Saturday,,,,,,,,
1029,2-2-2,3-2-1,4,2,0-5-1,2-2-2,2-2-2,2-2-2,odd,Wednesday,Wednesday,,,,,,,,
1030,6-0-0,3-2-1,3,3,2-2-2,0-5-1,3-2-1,2-2-2,even,Saturday,Saturday,,,,,,,,
1031,4-1-1,3-3-0,3,3,6-0-0,2-2-2,3-2-1,3-2-1,odd,Wednesday,Wednesday,,,,,,,,
1032,3-1-2,3-2-1,3,3,4-1-1,6-0-0,3-3-0,3-2-1,even,Saturday,Saturday,,,,,,,,
1033,2-2-2,1-4-1,5,1,3-1-2,4-1-1,3-2-1,3-3-0,odd,Wednesday,Wednesday,,,,,,,,
1034,1-2-3,3-1-2,3,3,2-2-2,3-1-2,1-4-1,3-2-1,even,Saturday,Saturday,,,,,,,,
1035,1-3-2,4-1-1,3,3,1-2-3,2-2-2,3-1-2,1-4-1,odd,Wednesday,Wednesday,,,,,,,,
1036,3-2-1,2-2-2,3,3,1-3-2,1-2-3,4-1-1,3-1-2,even,Saturday,Saturday,,,,,,,,
1037,4-2-0,2-1-3,3,3,3-2-1,1-3-2,2-2-2,4-1-1,odd,Wednesday,Wednesday,,,,,,,,
1038,2-2-2,1-2-3,3,3,4-2-0,3-2-1,2-1-3,2-2-2,even,Saturday,Saturday,,,,,,,,
1039,3-1-2,2-1-3,2,4,2-2-2,4-2-0,1-2-3,2-1-3,odd,Wednesday,Wednesday,,,,,,,,
1040,2-1-3,4-1-1,1,5,3-1-2,2-2-2,2-1-3,1-2-3,even,Saturday,Saturday,,,,,,,,
1041,4-0-2,2-2-2,1,5,2-1-3,3-1-2,4-1-1,2-1-3,odd,Wednesday,Wednesday,,,,,,,,
1042,2-2-2,0-3-3,2,4,4-0-2,2-1-3,2-2-2,4-1-1,even,Saturday,Saturday,,,,,,,,
1043,3-1-2,1-2-3,3,3,2-2-2,4-0-2,0-3-3,2-2-2,odd,Wednesday,Wednesday,,,,,,,,
1044,4-1-1,2-1-3,3,3,3-1-2,2-2-2,1-2-3,0-3-3,even,Saturday,Saturday,,,,,,,,
1045,0-4-2,3-0-3,5,1,4-1-1,3-1-2,2-1-3,1-2-3,odd,Wednesday,Wednesday,,,,,,,,
1046,4-2-0,2-3-1,2,4,0-4-2,4-1-1,3-0-3,2-1-3,even,Saturday,Saturday,,,,,,,,
1047,3-1-2,2-1-3,4,2,4-2-0,0-4-2,2-3-1,3-0-3,odd,Wednesday,Wednesday,,,,,,,,
1048,1-3-2,2-2-2,6,0,3-1-2,4-2-0,2-1-3,2-3-1,even,Saturday,Saturday,,,,,,,,
1049,3-2-1,1-2-3,4,2,1-3-2,3-1-2,2-2-2,2-1-3,odd,Wednesday,Wednesday,,,,,,,,
1050,3-1-2,3-2-1,3,3,3-2-1,1-3-2,1-2-3,2-2-2,even,Saturday,Saturday,,,,,,,,
1051,3-2-1,3-3-0,5,1,3-1-2,3-2-1,3-2-1,1-2-3,odd,Wednesday,Wednesday,,,,,,,,
1052,4-1-1,3-1-2,3,3,3-2-1,3-1-2,3-3-0,3-2-1,even,Saturday,Saturday,,,,,,,,
1053,1-3-2,3-2-1,4,2,4-1-1,3-2-1,3-1-2,3-3-0,odd,Wednesday,Wednesday,,,,,,,,
1054,2-3-1,4-0-2,2,4,1-3-2,4-1-1,3-2-1,3-1-2,even,Saturday,Saturday,,,,,,,,
1055,2-1-3,1-2-3,4,2,2-3-1,1-3-2,4-0-2,3-2-1,odd,Wednesday,Wednesday,,,,,,,,
1056,2-3-1,5-1-0,3,3,2-1-3,2-3-1,1-2-3,4-0-2,even,Saturday,Saturday,,,,,,,,
1057,3-0-3,3-2-1,1,5,2-3-1,2-1-3,5-1-0,1-2-3,odd,Wednesday,Wednesday,,,,,,,,
1058,3-2-1,1-5-0,3,3,3-0-3,2-3-1,3-2-1,5-1-0,even,Saturday,Saturday,,,,,,,,
1059,0-4-2,3-1-2,4,2,3-2-1,3-0-3,1-5-0,3-2-1,odd,Wednesday,Wednesday,,,,,,,,
1060,3-1-2,2-0-4,4,2,0-4-2,3-2-1,3-1-2,1-5-0,even,Saturday,Saturday,,,,,,,,
1061,1-4-1,2-1-3,2,4,3-1-2,0-4-2,2-0-4,3-1-2,odd,Wednesday,Wednesday,,,,,,,,
1062,2-0-4,5-1-0,4,2,1-4-1,3-1-2,2-1-3,2-0-4,even,Saturday,Saturday,,,,,,,,
1063,0-3-3,0-3-3,6,0,2-0-4,1-4-1,5-1-0,2-1-3,odd,Wednesday,Wednesday,,,,,,,,
1064,1-0-5,3-1-2,3,3,0-3-3,2-0-4,0-3-3,5-1-0,even,Saturday,Saturday,,,,,,,,
1065,4-0-2,2-2-2,0,6,1-0-5,0-3-3,3-1-2,0-3-3,odd,Wednesday,Wednesday,,,,,,,,
1066,2-2-2,1-1-4,3,3,4-0-2,1-0-5,2-2-2,3-1-2,even,Saturday,Saturday,,,,,,,,
1067,2-2-2,1-2-3,3,3,2-2-2,4-0-2,1-1-4,2-2-2,odd,Wednesday,Wednesday,,,,,,,,
1068,3-3-0,3-3-0,5,1,2-2-2,2-2-2,1-2-3,1-1-4,even,Saturday,Saturday,,,,,,,,
1069,4-2-0,4-1-1,3,3,3-3-0,2-2-2,3-3-0,1-2-3,odd,Wednesday,Wednesday,,,,,,,,
1070,5-1-0,2-2-2,2,4,4-2-0,3-3-0,4-1-1,3-3-0,even,Saturday,Saturday,,,,,,,,
1071,1-4-1,4-1-1,2,4,5-1-0,4-2-0,2-2-2,4-1-1,odd,Wednesday,Wednesday,,,,,,,,
1072,4-2-0,2-1-3,4,2,1-4-1,5-1-0,4-1-1,2-2-2,even,Saturday,Saturday,,,,,,,,
1073,1-2-3,0-3-3,2,4,4-2-0,1-4-1,2-1-3,4-1-1,odd,Wednesday,Wednesday,,,,,,,,
1074,0-4-2,1-3-2,3,3,1-2-3,4-2-0,0-3-3,2-1-3,even,Saturday,Saturday,,,,,,,,
1075,2-3-1,2-2-2,4,2,0-4-2,1-2-3,1-3-2,0-3-3,odd,Wednesday,Wednesday,,,,,,,,
1076,3-1-2,3-3-0,3,3,2-3-1,0-4-2,2-2-2,1-3-2,even,Saturday,Saturday,,,,,,,,
1077,3-3-0,2-2-2,4,2,3-1-2,2-3-1,3-3-0,2-2-2,odd,Wednesday,Wednesday,,,,,,,,
