Тираж,Дата,Комплект,N1,N2,N3,N4,N5,N6
2527,2025-06-27,,3,23,27,31,35,43
2526,2025-06-21,3.0,26,5,13,33,9,37
2525,2025-06-18,4.0,43,40,41,4,19,42
2524,2025-06-14,4.0,1,9,38,31,12,36
2523,2025-06-11,4.0,30,10,25,45,48,13
2522,2025-06-07,2.0,37,42,15,36,4,24
2521,2025-06-04,4.0,18,47,7,49,52,42
2520,2025-05-31,1.0,24,2,8,41,22,35
2519,2025-05-28,2.0,25,18,32,52,29,1
2518,2025-05-24,2.0,24,41,35,33,11,26
2517,2025-05-21,4.0,52,36,14,11,33,47
2516,2025-05-17,4.0,24,47,22,26,7,2
2515,2025-05-14,4.0,40,28,45,8,41,46
2514,2025-05-10,1.0,37,27,3,46,52,30
2513,2025-05-07,2.0,23,52,12,48,22,25
2512,2025-05-03,3.0,9,14,10,43,24,35
2511,2025-04-30,3.0,50,33,25,39,46,23
2510,2025-04-26,3.0,31,6,42,25,35,3
2509,2025-04-23,3.0,7,46,32,41,24,48
2508,2025-04-19,1.0,17,27,32,24,3,25
2507,2025-04-16,3.0,11,30,9,22,43,45
2506,2025-04-12,4.0,41,23,51,2,20,25
2505,2025-04-09,3.0,43,44,24,12,31,13
2504,2025-04-05,3.0,17,28,19,40,1,34
2503,2025-04-02,2.0,38,5,31,40,25,16
2502,2025-03-29,3.0,43,13,42,39,25,9
2501,2025-03-26,1.0,14,49,10,12,44,22
2500,2025-03-22,3.0,46,6,3,28,45,38
2499,2025-03-19,1.0,19,50,41,1,47,33
2498,2025-03-15,2.0,24,27,43,18,52,50
2497,2025-03-12,4.0,27,13,18,28,9,10
2496,2025-03-08,1.0,51,8,49,36,48,1
2495,2025-03-05,4.0,5,47,33,31,29,45
2494,2025-03-01,4.0,16,27,10,5,48,42
2493,2025-02-26,3.0,20,17,31,7,9,48
2492,2025-02-22,2.0,28,2,23,12,19,51
2491,2025-02-19,3.0,38,7,8,28,46,18
2490,2025-02-15,4.0,50,8,14,42,18,48
2489,2025-02-12,2.0,17,7,33,20,6,22
2488,2025-02-08,4.0,50,7,13,26,6,16
2487,2025-02-05,3.0,19,25,31,35,45,30
2486,2025-02-01,2.0,7,27,45,10,46,9
2485,2025-01-29,1.0,24,5,44,35,42,3
2484,2025-01-25,4.0,45,9,51,46,41,18
2483,2025-01-22,4.0,43,41,31,39,7,32
2482,2025-01-18,3.0,43,23,40,2,29,32
2481,2025-01-15,4.0,42,19,35,1,7,40
2480,2025-01-11,1.0,25,2,1,34,21,39
2479,2025-01-08,2.0,25,17,48,10,8,47
2478,2025-01-04,4.0,34,41,39,48,24,45
2477,2025-01-01,4.0,15,10,24,46,1,47
2476,2024-12-28,4.0,18,50,17,14,29,15
2475,2024-12-25,4.0,42,39,28,31,14,49
2474,2024-12-21,3.0,38,33,46,2,27,44
